类型,键,变体,文本
Habit,VTE_Insomniac,2,{PAWN_nameDef}已经放弃数羊，改成数房梁的木节。
Habit,VTE_IronStomach,1,{PAWN_nameDef}把别人倒了的东西吃了，然后去干活。
Habit,VTE_IronStomach,2,{PAWN_nameDef}现在不挑水干不干净，只挑够不够。
Habit,VTE_Prodigy,1,{PAWN_nameDef}教的人还没讲完，{PAWN_objective}已经翻到下一页。
Habit,VTE_Prodigy,2,{PAWN_nameDef}学一样新东西只要三天就不再问人。
Habit,VTE_Prude,1,{PAWN_nameDef}只对一个人好，并且觉得这样才对。
Habit,VTE_Prude,2,{PAWN_nameDef}别人开暧昧玩笑时会把脸转开。
Habit,VTE_RefinedPalate,1,{PAWN_nameDef}吃得不多，但每一口都在评价。
Habit,VTE_RefinedPalate,2,{PAWN_nameDef}把粗餐推到一边，然后自己去灶上看看。
Habit,VTE_Slob,1,{PAWN_nameDef}的床位已经成了一种生态，{PAWN_objective}自己也懒得解释。
Habit,VTE_Slob,2,{PAWN_nameDef}吃完饭把盘留在原地，第二天挪到别处继续留。
Habit,VTE_Snob,1,{PAWN_nameDef}把好东西只给少数人看，然后说他们也看不懂。
Habit,VTE_Snob,2,{PAWN_nameDef}现在用物品的成色来评价人。
Habit,VTE_Submissive,1,{PAWN_nameDef}从不抢活，也多一件都不做。
Habit,VTE_Submissive,2,{PAWN_nameDef}被派到什么就做什么，不问为什么。
Habit,VTE_ThickSkinned,1,{PAWN_nameDef}的伤别人看了皱眉，{PAWN_objective}自己没发现。
Habit,VTE_ThickSkinned,2,{PAWN_nameDef}被砸了一下先去看手里的东西有没有坏。
Habit,VTE_ThinSkinned,1,{PAWN_nameDef}擦破一点皮就要躺一天。
Habit,VTE_ThinSkinned,2,{PAWN_nameDef}现在把护具穿到不需要穿的场合。
Habit,VTE_Tycoon,1,{PAWN_nameDef}看见空地先想它能赚多少。
Habit,VTE_Tycoon,2,{PAWN_nameDef}把仓库的账背下来了，谁都改不动。
Habit,VTE_Vengeful,1,{PAWN_nameDef}记得每一次被亏待，而且不着急。
Habit,VTE_Vengeful,2,{PAWN_nameDef}在木板上刻下了那个人的名字，等哪天再说。
Habit,VTE_Wanderlust,1,{PAWN_nameDef}隔一阵就要一个人走出地图边缘一次。
Habit,VTE_Wanderlust,2,{PAWN_nameDef}待超过半年就会开始问外面的事。
Habit,VTE_Workaholic,1,{PAWN_nameDef}除了工作不知道还能拿自己怎么办。
Habit,VTE_Workaholic,2,{PAWN_nameDef}收工的钟响之后还会再做一整个炉次。
Habit,Wimp,1,{PAWN_nameDef}疼一点就躺到地上，谁来拉也不起。
Habit,Wimp,2,{PAWN_nameDef}现在把轻活也说成做不了。
FrameScene,1,1,{PAWN_nameDef}先把带来的旧行李翻了出来，然后摸了一遍那把用不惯的刀，接着把它挂回墙上最靠里的钉子。有些东西殖民地没给{PAWN_objective}，是{PAWN_nameDef}自己一路带着的。
FrameScene,1,2,{PAWN_nameDef}先拒绝了一次别人的叫法，然后又拒绝了一次，接着在第三次没有反驳。{PAWN_nameDef}带来的那一点天性在这些年里没被改掉，反而站住了。
FrameScene,1,3,{PAWN_nameDef}先把过去用的名字写在木板上，然后把它划掉，接着又把它重新描深。原来那个人还在这里，只是终于腾出手来了。
FrameScene,1,4,{PAWN_nameDef}先把压箱底的那件旧衣抖开，然后穿了一整天，接着把它挂起来而不是塞回去。这些年殖民地给{PAWN_objective}的东西里，也包括这一件。
FrameScene,2,1,{PAWN_nameDef}先把最擅长的那样事做了第三遍，然后教给两个人，接着把自己以前的做法整个换掉。做这么多年之后，{PAWN_nameDef}已经变成这件事的样子了。
FrameScene,2,2,{PAWN_nameDef}先在别人卡住的地方动了手，然后一口气做到天亮，接着把工具留在台子上没收拾。{PAWN_nameDef}最有用的那一部分，如今就是{PAWN_objective}本人的样子。
FrameScene,2,3,{PAWN_nameDef}先把重复了上百次的动作改成自己的那一套，然后省下了半天工时，接着把省下的时间又投回同一件事上。别人现在一说起那样事，先想到的是{PAWN_nameDef}。
FrameScene,2,4,{PAWN_nameDef}先被派去做{PAWN_objective}最拿手的那件事，然后连续做了三个季度，接着没人再问{PAWN_objective}愿不愿意。{PAWN_nameDef}现在就是这个样子了。
FrameScene,3,1,有人在背后用了一个新词形容{PAWN_nameDef}，然后{PAWN_nameDef}自己听见了，接着{PAWN_objective}想反驳却没找出句子。当天{PAWN_nameDef}照旧把那件事做完了。
FrameScene,3,2,{PAWN_nameDef}先把别人说{PAWN_objective}的那句转述当玩笑听，然后在第二个人嘴里又听见同一句，接着{PAWN_nameDef}开始按那句话行事。
FrameScene,3,3,有人把{PAWN_nameDef}的名字写在分工表最合适的那一格，然后看了两遍确认没写错，接着{PAWN_nameDef}自己走过来点了点头。别人怎么叫{PAWN_objective}，{PAWN_nameDef}就慢慢变成那样。
FrameScene,3,4,{PAWN_nameDef}先把议论{PAWN_objective}的话头接过来，然后没有否认，接着把最后一句替他们说了。散开后{PAWN_nameDef}做的事和众人说的完全一致。
FrameScene,4,1,换季清点时管名册的人先把{PAWN_nameDef}那一栏停了一下，然后把旧的字划掉重写，接着把板子递回给{PAWN_nameDef}看。{PAWN_nameDef}看了一眼，说是对的。
FrameScene,4,2,{PAWN_nameDef}先把去年那件做过一半的事做完，然后把工具箱按新的次序重摆，接着在名册上认下自己那一行。清点的人才发觉{PAWN_nameDef}已经不是刚来时那一个。
FrameScene,4,3,{PAWN_nameDef}先把刚来时穿的衣物洗到发白还留着，然后试着换了身新的，接着把旧的那套挂到屋里最显眼的地方。{PAWN_nameDef}现在这个样子是在这里长出来的。
FrameScene,4,4,季末分粮时{PAWN_nameDef}先替别人挑了两次，然后才拿自己那份，接着把多出来的一小包送回仓里。名册上的那一栏写了三个字，{PAWN_nameDef}认了。
FrameHead,1,1,带着旧刀的人
FrameHead,2,1,做熟那件事的人
FrameHead,3,1,被这样叫的人
FrameHead,4,1,换季重数的人
Exit,_,1,{PAWN_nameDef}把那件每天都要做一次的事停了三回，然后发现没人接，接着也就没再去做。
Exit,_,2,{PAWN_nameDef}先把夜里那盏灯留在别人手里，然后睡到了天亮，接着第二天还是睡到了天亮。
Exit,_,3,{PAWN_nameDef}很久没再去摸那样东西了，手上的习惯比人先松开。
Exit,_,4,{PAWN_nameDef}换了一张床位，也换了一整天做事的次序，旧的那一套就没有再回来。
Abstain,_,1,{PAWN_nameDef}把最后那一瓶原样交给管仓的人，然后自己打开了窗，接着连着几夜都睡得很沉。
Abstain,_,2,{PAWN_nameDef}开始把口袋里那点存货掏出来数给别人看，然后扔进火里，接着去洗了手。
Abstain,_,3,{PAWN_nameDef}现在路过那个柜子会停一下，然后走开，第二天也照做。
Abstain,_,4,{PAWN_nameDef}把那几样瓶瓶罐罐搬到别人看得见的地方锁起来，接着换了一条夜里不经过那里的路线。
